id,name,nameEn,class,classEn,subclass,subclassEn,faction,factionEn,rarity,race,raceEn,gender,genderEn
char_290_vigna,红豆,Vigna,先锋,Vanguard,冲锋手,Charger,哥伦比亚,Columbia,4,萨卡兹,萨卡兹,女,Female
char_151_myrtle,桃金娘,Myrtle,先锋,Vanguard,执旗手,Standard Bearer,罗德岛,Rhodes Island,4,阿纳缇,Anaty,女,Female
char_452_bstalk,豆苗,Beanstalk,先锋,Vanguard,战术家,Tactician,哥伦比亚,Columbia,4,瑞柏巴,瑞柏巴,女,Female
char_4208_wintim,冬时,Снегурочка,先锋,Vanguard,情报官,Agent,乌萨斯,Ursus,4,黎博利,黎博利,女,Female
char_130_doberm,杜宾,Dobermann,近卫,Guard,教官,Instructor,罗德岛,Rhodes Island,4,佩洛,佩洛,女,Female
char_289_gyuki,缠丸,Matoimaru,近卫,Guard,无畏者,Dreadnought,东国,Higashi,4,鬼,鬼,女,Female
char_159_peacok,断罪者,Conviction,近卫,Guard,无畏者,Dreadnought,米诺斯,Minos,4,未知（疑似黎博利）,未知（疑似黎博利）,断罪,断罪
char_601_cguard,预备干员-近卫,Reserve Operator - Guard,近卫,Guard,无畏者,Dreadnought,未知,Unknown,4,未知,Unknown,未知,Unknown
char_193_frostl,霜叶,Frostleaf,近卫,Guard,领主,Lord,罗德岛,Rhodes Island,4,沃尔珀,沃尔珀,女,Female
char_127_estell,艾丝黛尔,Estelle,近卫,Guard,强攻手,Centurion,萨尔贡,Sargon,4,阿达克利斯,阿达克利斯,女,Female
char_185_frncat,慕斯,Mousse,近卫,Guard,术战者,Arts Fighter,维多利亚,Victoria,4,菲林,菲林,女,Female
char_301_cutter,刻刀,Cutter,近卫,Guard,剑豪,Swordmaster,哥伦比亚,Columbia,4,沃尔珀,沃尔珀,女,Female
char_337_utage,宴,Utage,近卫,Guard,武者,Soloblade,东国,Higashi,4,不明,不明,女,Female
char_271_spikes,芳汀,Arene,近卫,Guard,领主,Lord,拉特兰,Laterano,4,萨科塔,萨科塔,男,Male
char_4067_lolxh,罗小黑,Luo Xiaohei,近卫,Guard,领主,Lord,炎,Yan,4,菲林,菲林,男,Male
char_4063_quartz,石英,Quartz,近卫,Guard,重剑手,Crusher,哥伦比亚,Columbia,4,鲁珀,鲁珀,女,Female
char_491_humus,休谟斯,Humus,近卫,Guard,收割者,Reaper,罗德岛,Rhodes Island,4,丰蹄,丰蹄,男,Male
char_445_wscoot,骋风,Windscoot,近卫,Guard,解放者,Liberator,炎,Yan,4,菲林,菲林,男,Male
char_237_gravel,砾,Gravel,特种,Specialist,处决者,Executor,卡西米尔,Kazimierz,4,札拉克,札拉克,女,Female
char_607_cspec,预备干员-特种,Reserve Operator - Specialist,特种,Specialist,处决者,Executor,未知,Unknown,4,未知,Unknown,未知,Unknown
char_272_strong,孑,Jaye,特种,Specialist,行商,Merchant,龙门,Lungmen,4,乌萨斯,乌萨斯,男,Male
char_236_rope,暗索,Rope,特种,Specialist,拉人特种,Hookmaster,龙门,Lungmen,4,卡特斯,卡特斯,女,Female
char_117_myrrh,末药,Myrrh,医疗,Medic,医师,Medic,罗德岛,Rhodes Island,4,沃尔珀,Vulpo,女,Female
char_187_ccheal,嘉维尔,Gavial,医疗,Medic,医师,Medic,罗德岛,Rhodes Island,4,阿达克利斯,阿达克利斯,女,Female
char_298_susuro,苏苏洛,Sussurro,医疗,Medic,医师,Medic,罗德岛,Rhodes Island,4,沃尔珀,沃尔珀,女,Female
char_605_cmedic,预备干员-医疗,Reserve Operator - Medic,医疗,Medic,医师,Medic,未知,Unknown,4,未知,Unknown,未知,Unknown
char_181_flower,调香师,Perfumer,医疗,Medic,群愈师,Multi-target Medic,罗德岛,Rhodes Island,4,沃尔珀,沃尔珀,女,Female
char_385_finlpp,清流,Purestream,医疗,Medic,疗养师,Wandering Medic,炎,Yan,4,阿戈尔,阿戈尔,女,Female
char_4041_chnut,褐果,Chestnut,医疗,Medic,行医,Wandering Medic,罗德岛,Rhodes Island,4,杜林,杜林,男,Male
char_199_yak,角峰,Matterhorn,重装,Defender,铁卫,Protector,喀兰贸易,Kjerag,4,丰蹄,丰蹄,男,Male
char_150_snakek,蛇屠箱,Cuora,重装,Defender,铁卫,Protector,哥伦比亚,Columbia,4,匹特拉姆,Petram,女,Female
char_381_bubble,泡泡,Bubble,重装,Defender,铁卫,Protector,萨尔贡,Sargon,4,塞拉托,塞拉托,女,Female
char_4130_luton,露托,Lutonada,重装,Defender,不屈者,Juggernaut,玻利瓦尔,Bolívar,4,札拉克,札拉克,女,Female
char_196_sunbr,古米,Гум,重装,Defender,守护者,Guardian,乌萨斯,Ursus,4,乌萨斯,乌萨斯,女,Female
char_260_durnar,坚雷,Dur-nar,重装,Defender,驭法铁卫,Arts Protector,罗德岛,Rhodes Island,4,沃尔珀,沃尔珀,女,Female
char_110_deepcl,深海色,Deepcolor,辅助,Supporter,召唤师,Summoner,阿戈尔,Ægir,4,阿戈尔,Aegir,女,Female
char_183_skgoat,地灵,Earthspirit,辅助,Supporter,减速者,Decel Binder,莱塔尼亚,Leithanien,4,卡普里尼,卡普里尼,女,Female
char_258_podego,波登可,Podenco,辅助,Supporter,减速者,Decel Binder,罗德岛,Rhodes Island,4,佩洛,佩洛,女,Female
char_606_csuppo,预备干员-辅助,Reserve Operator - Supporter,辅助,Supporter,减速者,Decel Binder,未知,Unknown,4,未知,Unknown,未知,Unknown
char_484_robrta,罗比菈塔,Roberta,辅助,Supporter,工匠师,Artificer,哥伦比亚,Columbia,4,阿纳缇,阿纳缇,女,Female
char_616_pithst,盟约·辅助干员,Alliance/Supportive Opertator,辅助,Supporter,巫役,Ritualist,未知,Unknown,4,未知,Unknown,未知,Unknown
char_355_ethan,伊桑,Ethan,特种,Specialist,伏击客,Ambusher,罗德岛,Rhodes Island,4,萨弗拉,萨弗拉,男,Male
char_277_sqrrel,阿消,Shaw,特种,Specialist,推击手,Push Stroker,龙门,Lungmen,4,札拉克,札拉克,女,Female
char_4107_vrdant,维荻,Verdant,特种,Specialist,傀儡师,Dollkeeper,维多利亚,Victoria,4,斐迪亚,斐迪亚,男,Male
char_4165_ctrail,云迹,Contrail,特种,Specialist,巡空者,Skywalker,哥伦比亚,Columbia,4,札拉克,札拉克,女,Female
char_128_plosis,白面鸮,Ptilopsis,医疗,Medic,群愈师,Multi-target Medic,哥伦比亚,Columbia,5,黎博利,Liberi,女,Female
char_275_breeze,微风,Breeze,医疗,Medic,群愈师,Multi-target Medic,维多利亚,Victoria,5,沃尔珀,沃尔珀,女,Female
char_4163_rosesa,瑰盐,Rose Salt,医疗,Medic,群愈师,Multi-target Medic,伊比利亚,Iberia,5,斐迪亚,斐迪亚,女,Female
char_115_headbr,凛冬,Зима,先锋,Vanguard,尖兵,Pioneer,乌萨斯,Ursus,5,乌萨斯,Ursus,女,Female
char_102_texas,德克萨斯,Texas,先锋,Vanguard,尖兵,Pioneer,龙门,Lungmen,5,鲁珀,Lupo,女,Female
char_349_chiave,贾维,Chiave,先锋,Vanguard,尖兵,Pioneer,叙拉古,Siracusa,5,沃尔珀,沃尔珀,男,Male
char_488_buildr,青枳,Poncirus,先锋,Vanguard,尖兵,Pioneer,哥伦比亚,Columbia,5,黎博利,黎博利,女,Female
char_513_apionr,郁金香,Tulip,先锋,Vanguard,尖兵,Pioneer,未知,Unknown,5,斐迪亚,斐迪亚,女,Female
char_4023_rfalcn,红隼,Kestrel,先锋,Vanguard,尖兵,Pioneer,萨尔贡,Sargon,5,黎博利,黎博利,女,Female
char_4199_makiri,松桐,Matsukiri,先锋,Vanguard,回环射手,Counsellor,东国,Higashi,5,鲁珀,鲁珀,男,Male
char_261_sddrag,苇草,Reed,先锋,Vanguard,冲锋手,Charger,维多利亚,Victoria,5,德拉克,德拉克,女,Female
char_496_wildmn,野鬃,Wild Mane,先锋,Vanguard,冲锋手,Charger,卡西米尔,Kazimierz,5,库兰塔,库兰塔,女,Female
char_1036_fang2,历阵锐枪芬,Fang the Fire-sharpened,先锋,Vanguard,冲锋手,Charger,罗德岛,Rhodes Island,5,库兰塔,库兰塔,女,Female
char_401_elysm,极境,Elysium,先锋,Vanguard,执旗手,Standard Bearer,罗德岛,Rhodes Island,5,黎博利,黎博利,男,Male
char_4119_wanqin,万顷,Wanqing,先锋,Vanguard,执旗手,Standard Bearer,炎,Yan,5,丰蹄,丰蹄,男,Male
char_476_blkngt,夜半,Blacknight,先锋,Vanguard,战术家,Tactician,雷姆必拓,Rim Billiton,5,萨弗拉,萨弗拉,女,Female
char_4147_mitm,渡桥,Mitm,先锋,Vanguard,战术家,Tactician,罗德岛,Rhodes Island,5,萨卡兹,萨卡兹,男,Male
char_497_ctable,晓歌,Cantabile,先锋,Vanguard,情报官,Agent,罗德岛,Rhodes Island,5,黎博利,黎博利,女,Female
char_4017_puzzle,谜图,Puzzle,先锋,Vanguard,情报官,Agent,维多利亚,Victoria,5,瓦伊凡,瓦伊凡,男,Male
char_4144_chilc,齐尔查克,Chilchuck,先锋,Vanguard,情报官,Agent,未知,Unknown,5,半身人（自称）,半身人（自称）,男,Male
char_4052_surfer,寻澜,Surfer,先锋,Vanguard,情报官,Agent,哥伦比亚,Columbia,5,札拉克,札拉克,女,Female
char_308_swire,诗怀雅,Swire,近卫,Guard,教官,Instructor,龙门,Lungmen,5,菲林,菲林,女,Female
char_265_sophia,鞭刃,Whislash,近卫,Guard,教官,Instructor,卡西米尔,Kazimierz,5,库兰塔,库兰塔,女,Female
char_4106_bryota,苍苔,Bryophyta,近卫,Guard,教官,Instructor,哥伦比亚,Columbia,5,黎博利,黎博利,男,Male
char_4125_rdoc,医生,Doc,近卫,Guard,教官,Instructor,未知,Unknown,5,人类,Human,男,Male
char_106_franka,芙兰卡,Franka,近卫,Guard,无畏者,Dreadnought,哥伦比亚,Columbia,5,沃尔珀,Vulpo,女,Female
char_131_flameb,炎客,Flamebringer,近卫,Guard,无畏者,Dreadnought,罗德岛,Rhodes Island,5,萨卡兹,萨卡兹,男,Male
char_154_morgan,摩根,Morgan,近卫,Guard,无畏者,Dreadnought,维多利亚,Victoria,5,菲林,菲林,女,Female
char_508_aguard,Sharp,Sharp,近卫,Guard,无畏者,Dreadnought,未知,Unknown,5,斐迪亚,斐迪亚,男,Male
char_4142_laios,莱欧斯,Laios,近卫,Guard,无畏者,Dreadnought,未知,Unknown,5,长身人（自称）,长身人（自称）,男,Male
char_155_tiger,因陀罗,Indra,近卫,Guard,斗士,Brawler,维多利亚,Victoria,5,菲林,菲林,女,Female
char_415_flint,燧石,Flint,近卫,Guard,斗士,Brawler,萨尔贡,Sargon,5,黎博利,黎博利,女,Female
char_157_dagda,达格达,Dagda,近卫,Guard,斗士,Brawler,维多利亚,Victoria,5,菲林,菲林,女,Female
char_140_whitew,拉普兰德,Lappland,近卫,Guard,领主,Lord,叙拉古,Siracusa,5,鲁珀,Lupo,女,Female
char_294_ayer,断崖,Ayerscarpe,近卫,Guard,领主,Lord,雷姆必拓,Rim Billiton,5,卡特斯,卡特斯,男,Male
char_194_leto,烈夏,Лето,近卫,Guard,领主,Lord,乌萨斯,Ursus,5,乌萨斯,乌萨斯,女,Female
char_4083_chimes,铎铃,Wind Chimes,近卫,Guard,重剑手,Crusher,炎,Yan,5,丰蹄,丰蹄,女,Female
char_252_bibeak,柏喙,Bibeak,近卫,Guard,剑豪,Swordmaster,萨米,Sami,5,黎博利,黎博利,女,Female
char_459_tachak,战车,Tachanka,近卫,Guard,剑豪,Swordmaster,未知,Unknown,5,人类,Human,男,Male
char_143_ghost,幽灵鲨,Specter,近卫,Guard,强攻手,Centurion,阿戈尔,Ægir,5,阿戈尔,Aegir,女,Female
char_356_broca,布洛卡,Broca,近卫,Guard,强攻手,Centurion,叙拉古,Siracusa,5,菲林,菲林,男,Male
char_4126_fuze,导火索,Fuze,近卫,Guard,强攻手,Centurion,未知,Unknown,5,人类,Human,男,Male
char_4166_varkis,摆渡人,Varkáris,近卫,Guard,强攻手,Centurion,米诺斯,Minos,5,丰蹄,丰蹄,男,Male
char_274_astesi,星极,Astesia,近卫,Guard,术战者,Arts Fighter,哥伦比亚,Columbia,5,黎博利,Liberi,女,Female
char_333_sidero,铸铁,Sideroca,近卫,Guard,术战者,Arts Fighter,米诺斯,Minos,5,丰蹄,丰蹄,女,Female
char_475_akafyu,赤冬,Akafuyu,近卫,Guard,武者,Soloblade,东国,Higashi,5,阿戈尔,阿戈尔,女,Female
char_1030_noirc2,火龙S黑角,Rathalos S Noir Corne,近卫,Guard,武者,Soloblade,罗德岛,Rhodes Island,5,鬼,鬼,男,Male
char_421_crow,羽毛笔,La Pluma,近卫,Guard,收割者,Reaper,玻利瓦尔,Bolívar,5,黎博利,黎博利,女,Female
char_4066_highmo,海沫,Highmore,近卫,Guard,收割者,Reaper,伊比利亚,Iberia,5,阿戈尔,阿戈尔,女,Female
char_486_takila,龙舌兰,Tequila,近卫,Guard,解放者,Liberator,玻利瓦尔,Bolívar,5,佩洛,佩洛,男,Male
char_4131_odda,奥达,Odda,近卫,Guard,撼地者,Earthshaker,罗德岛,Rhodes Island,5,萨卡兹,萨卡兹,男,Male
char_4187_graceb,聆音,Gracebearer,近卫,Guard,本源近卫,Primal Guard,玻利瓦尔,Bolívar,5,未公开,未公开,女,Female
char_4185_amoris,祐天寺若麦,Yūtenji Nyamu,近卫,Guard,撼地者,Earthshaker,未知,Unknown,5,人类,Human,女,Female
char_394_hadiya,哈蒂娅,Hadiya,近卫,Guard,佣兵,Mercenary,萨尔贡,Sargon,5,卡普里尼,卡普里尼,女,Female
char_1049_catap2,雷狼龙S空爆,Zinogre S Catapult,近卫,Guard,佣兵,Mercenary,罗德岛,Rhodes Island,5,库兰塔,库兰塔,女,Female
char_129_bluep,蓝毒,Blue Poison,狙击,Sniper,速射手,Marksman,伊比利亚,Iberia,5,安努拉,Anura,女,Female
char_204_platnm,白金,Platinum,狙击,Sniper,速射手,Marksman,卡西米尔,Kazimierz,5,库兰塔,库兰塔,女,Female
char_367_swllow,灰喉,GreyThroat,狙击,Sniper,速射手,Marksman,罗德岛,Rhodes Island,5,黎博利,黎博利,女,Female
char_511_asnipe,Stormeye,Stormeye,狙击,Sniper,速射手,Marksman,未知,Unknown,5,萨卡兹,萨卡兹,男,Male
char_365_aprl,四月,April,狙击,Sniper,速射手,Marksman,雷姆必拓,Rim Billiton,5,卡特斯,卡特斯,女,Female
char_1021_kroos2,寒芒克洛丝,Kroos the Keen Glint,狙击,Sniper,速射手,Marksman,罗德岛,Rhodes Island,5,卡特斯,卡特斯,女,Female
char_498_inside,隐现,Insider,狙击,Sniper,速射手,Marksman,拉特兰,Laterano,5,萨科塔,萨科塔,男,Male
char_219_meteo,陨星,Meteorite,狙击,Sniper,炮手,Artilleryman,罗德岛,Rhodes Island,5,库兰塔,Kuranta,女,Female
char_379_sesa,慑砂,Sesa,狙击,Sniper,炮手,Artilleryman,萨尔贡,Sargon,5,瓦伊凡,瓦伊凡,男,Male
char_4078_bdhkgt,截云,Jieyun,狙击,Sniper,炮手,Artilleryman,炎,Yan,5,阿纳萨,阿纳萨,女,Female
char_279_excu,送葬人,Executor,狙击,Sniper,投掷手,Flinger,拉特兰,Laterano,5,萨科塔,Sankta,男,Male
char_346_aosta,奥斯塔,Aosta,狙击,Sniper,投掷手,Flinger,叙拉古,Siracusa,5,鲁珀,鲁珀,男,Male
char_4203_kichi,吉星,Kichisei,狙击,Sniper,投掷手,Flinger,东国,Higashi,5,佩洛,佩洛,女,Female
char_4213_skybx,天空盒,Skybox,狙击,Sniper,破空者,Skybreaker,哥伦比亚,Columbia,5,萨弗拉,萨弗拉,男,Male
char_002_amiya,阿米娅,Amiya,术师,Caster,中坚术师,Core Caster,罗德岛,Rhodes Island,5,卡特斯/奇美拉,Cautus/Chimera,女,Female
char_405_absin,苦艾,Absinthe,术师,Caster,中坚术师,Core Caster,乌萨斯,Ursus,5,乌萨斯,乌萨斯,女,Female
char_411_tomimi,特米米,Tomimi,术师,Caster,中坚术师,Core Caster,萨尔贡,Sargon,5,阿达克利斯,阿达克利斯,女,Female
char_466_qanik,雪绒,Qanipalaat,术师,Caster,中坚术师,Core Caster,萨米,Sami,5,沃尔珀,沃尔珀,男,Male
char_166_skfire,天火,Skyfire,术师,Caster,扩散术师,Splash Caster,维多利亚,Victoria,5,菲林,菲林,女,Female
char_509_acast,Pith,Pith,术师,Caster,扩散术师,Splash Caster,未知,Unknown,5,黎博利,黎博利,女,Female
char_306_leizi,惊蛰,Leizi,术师,Caster,链术师,Chain Caster,炎,Yan,5,麒麟,麒麟,女,Female
char_135_halo,星源,Astgenne,术师,Caster,链术师,Chain Caster,哥伦比亚,Columbia,5,黎博利,黎博利,女,Female
char_344_beewax,蜜蜡,Beeswax,术师,Caster,阵法术师,Phalanx Caster,萨尔贡,Sargon,5,卡普里尼,卡普里尼,女,Female
char_373_lionhd,莱恩哈特,Leonhardt,术师,Caster,扩散术师,Splash Caster,雷姆必拓,Rim Billiton,5,卡特斯,卡特斯,男,Male
char_341_sntlla,寒檀,Santalla,术师,Caster,扩散术师,Splash Caster,萨米,Sami,5,菲林,菲林,女,Female
char_4031_liesel,复奏,Ripresa,术师,Caster,扩散术师,Splash Caster,叙拉古,Siracusa,5,卡普里尼,卡普里尼,女,Female
char_388_mint,薄绿,Mint,术师,Caster,阵法术师,Phalanx Caster,维多利亚,Victoria,5,菲林,菲林,女,Female
char_338_iris,爱丽丝,Iris,术师,Caster,秘术师,Mystic Caster,维多利亚,Victoria,5,菲林,菲林,女,Female
char_297_hamoni,和弦,Harmonie,术师,Caster,秘术师,Mystic Caster,维多利亚,Victoria,5,菲林,菲林,女,Female
char_4110_delphn,戴菲恩,Delphine,术师,Caster,秘术师,Mystic Caster,维多利亚,Victoria,5,菲林,菲林,女,Female
char_1011_lava2,炎狱炎熔,Lava the Purgatory,术师,Caster,扩散术师,Splash Caster,罗德岛,Rhodes Island,5,萨卡兹,萨卡兹,女,Female
char_489_serum,蚀清,Corroserum,术师,Caster,轰击术师,Blast Caster,哥伦比亚,Columbia,5,斐迪亚,斐迪亚,男,Male
char_446_aroma,阿罗玛,Aroma,术师,Caster,轰击术师,Blast Caster,叙拉古,Siracusa,5,鲁珀,鲁珀,女,Female
char_4013_kjera,耶拉,Kjera,术师,Caster,驭械术师,Mech-Accord Caster,喀兰贸易,Kjerag,5,未公开,未公开,女,Female
char_4040_rockr,洛洛,Rockrock,术师,Caster,驭械术师,Mech-Accord Caster,维多利亚,Victoria,5,菲林,菲林,女,Female
char_4054_malist,至简,Minimalist,术师,Caster,驭械术师,Mech-Accord Caster,萨尔贡,Sargon,5,杜林,杜林,男,Male
char_499_kaitou,折光,Diamante,术师,Caster,本源术师,Primal Caster,莱塔尼亚,Leithanien,5,卡普里尼,卡普里尼,男,Male
char_4081_warmy,温米,Warmy,术师,Caster,本源术师,Primal Caster,雷姆必拓,Rim Billiton,5,卡特斯,卡特斯,女,Female
char_4198_christ,Miss.Christine,Miss.Christine,术师,Caster,本源术师,Primal Caster,维多利亚,Victoria,5,未公开,未公开,女士,女士
char_4164_tecno,特克诺,Tecno,术师,Caster,塑灵术师,Necrosis Caster,玻利瓦尔,Bolívar,5,杜林,杜林,女,Female
char_242_otter,梅尔,Mayer,辅助,Supporter,召唤师,Summoner,哥伦比亚,Columbia,5,阿纳缇,阿纳缇,女,Female
char_336_folivo,稀音,Scene,辅助,Supporter,召唤师,Summoner,萨尔贡,Sargon,5,皮洛萨,皮洛萨,女,Female
char_4140_lasher,衡沙,Sand Reckoner,辅助,Supporter,召唤师,Summoner,萨尔贡,Sargon,5,黎博利,黎博利,男,Male
char_108_silent,赫默,Silence,医疗,Medic,医师,Medic,哥伦比亚,Columbia,5,黎博利,Liberi,女,Female
char_171_bldsk,华法琳,Warfarin,医疗,Medic,医师,Medic,罗德岛,Rhodes Island,5,萨卡兹,Sarkaz,女,Female
